--------- beginning of main
11-09 15:02:53.721 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 5, generation 25881602.
11-09 15:02:53.735 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1964, bufferIndex = 0.
11-09 15:02:53.738 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 10, generation 25881602.
11-09 15:02:53.738 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 11, generation 25881602.
11-09 15:02:53.740 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1965, bufferIndex = 0.
11-09 15:02:53.740 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 16, generation 25881602.
11-09 15:02:53.979 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1966, bufferIndex = 0.
11-09 15:02:53.980 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 15, generation 25881602.
11-09 15:02:53.981 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1967, bufferIndex = 0.
11-09 15:02:53.981 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1968, bufferIndex = 0.
11-09 15:02:53.982 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 17, generation 25881602.
11-09 15:02:53.982 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 19, generation 25881602.
11-09 15:02:53.983 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 18, generation 25881602.
11-09 15:02:53.983 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1969, bufferIndex = 0.
11-09 15:02:53.993 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1970, bufferIndex = 0.
11-09 15:02:53.994 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1971, bufferIndex = 0.
11-09 15:02:53.996 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 0, generation 25881602.
11-09 15:02:54.306 25275 11992 V SQLiteTime: /data/user/0/com.discord/databases/exoplayer_internal.db: "INSERT OR REPLACE  INTO ExoPlayerCacheFileMetadata38912964b0f6f468(length,last_touch_timestamp,name) VALUES (?,?,?)" took 3.000 ms
11-09 15:02:54.348 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1972, bufferIndex = 0.
11-09 15:02:54.353 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 2, generation 25881602.
11-09 15:02:54.353 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 3, generation 25881602.
11-09 15:02:54.354 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 13, generation 25881602.
11-09 15:02:54.359 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1973, bufferIndex = 0.
11-09 15:02:54.361 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 4, generation 25881602.
11-09 15:02:54.361 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1975, bufferIndex = 0.
11-09 15:02:54.362 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1976, bufferIndex = 0.
11-09 15:02:54.374 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 12, generation 25881602.
11-09 15:02:54.374 25275  9944 V Codec2-OutputBufferQueue: holdBufferQueueBlock -- import without attaching: bqId 108555298406405, bqSlot 8, generation 25881602.
11-09 15:02:54.375 25275  9944 V Codec2Client: onInputBuffersReleased -- received death notification of input buffer: frameIndex = 1977, bufferIndex = 0.
